id,date,home_team,home_team_score,visit_team,visit_team_score
400578922,2015-01-21,Memphis,92,Toronto Raptors,86
400578933,2015-01-23,Philadelphia,86,Toronto Raptors,91
400578956,2015-01-25,Toronto Raptors,114,Detroit,110
400578967,2015-01-27,Indiana,91,Toronto Raptors,104
400578976,2015-01-28,Toronto Raptors,119,Sacramento,102
400578991,2015-01-30,Brooklyn,122,Toronto Raptors,127
400578999,2015-01-31,Washington,116,Toronto Raptors,120
400579013,2015-02-02,Toronto Raptors,75,Milwaukee,82
400579026,2015-02-04,Toronto Raptors,93,Brooklyn,109
400579044,2015-02-06,Toronto Raptors,123,LA,107
400579064,2015-02-08,Toronto Raptors,87,San Antonio,82
400579083,2015-02-11,Toronto Raptors,95,Washington,93
400579097,2015-02-20,Atlanta,80,Toronto Raptors,105
400579111,2015-02-21,Houston,98,Toronto Raptors,76
400579125,2015-02-23,New Orleans,100,Toronto Raptors,97
400579133,2015-02-24,Dallas,99,Toronto Raptors,92
400579153,2015-02-27,Toronto Raptors,89,Golden State,113
400579164,2015-02-28,NY Knicks,103,Toronto Raptors,98
400579177,2015-03-02,Philadelphia,103,Toronto Raptors,114
400579192,2015-03-04,Toronto Raptors,112,Cleveland,120
400579203,2015-03-06,Charlotte,103,Toronto Raptors,94
400579228,2015-03-08,Oklahoma City,108,Toronto Raptors,104
400579241,2015-03-10,San Antonio,117,Toronto Raptors,107
400579262,2015-03-13,Toronto Raptors,102,Miami,92
400579279,2015-03-15,Toronto Raptors,97,Portland,113
400579282,2015-03-16,Indiana,98,Toronto Raptors,117
400579300,2015-03-18,Toronto Raptors,105,Minnesota,100
400579317,2015-03-20,Chicago,108,Toronto Raptors,92
400579333,2015-03-22,Toronto Raptors,106,NY Knicks,89
400579346,2015-03-24,Detroit,108,Toronto Raptors,104
400579357,2015-03-25,Toronto Raptors,103,Chicago,116
400579372,2015-03-27,Toronto Raptors,94,Los Angeles,83
400579396,2015-03-30,Toronto Raptors,99,Houston,96
400579411,2015-04-01,Minnesota,99,Toronto Raptors,113
400579422,2015-04-03,Brooklyn,114,Toronto Raptors,109
400579432,2015-04-04,Toronto Raptors,116,Boston,117
400579452,2015-04-08,Charlotte,74,Toronto Raptors,92
400579467,2015-04-10,Orlando,99,Toronto Raptors,101
400579480,2015-04-11,Miami,104,Toronto Raptors,107
400579506,2015-04-14,Boston,95,Toronto Raptors,93
400579520,2015-04-15,Toronto Raptors,92,Charlotte,87
400578306,2015-10-29,Sacramento,77,Golden State Warriors,95
400578330,2015-11-01,Golden State Warriors,127,Los Angeles,104
400578334,2015-11-02,Portland,90,Golden State Warriors,95
400578360,2015-11-05,Golden State Warriors,121,LA,104
400578379,2015-11-08,Houston,87,Golden State Warriors,98
400578387,2015-11-09,Phoenix,107,Golden State Warriors,95
400578400,2015-11-11,Golden State Warriors,100,San Antonio,113
400578413,2015-11-13,Golden State Warriors,107,Brooklyn,99
400578432,2015-11-15,Golden State Warriors,112,Charlotte,87
400578437,2015-11-16,Los Angeles,115,Golden State Warriors,136
400578474,2015-11-21,Golden State Warriors,101,Utah,88
400578488,2015-11-23,Oklahoma City,86,Golden State Warriors,91
400578498,2015-11-25,Miami,97,Golden State Warriors,114
400578504,2015-11-26,Orlando,96,Golden State Warriors,111
400578516,2015-11-28,Charlotte,101,Golden State Warriors,106
400578535,2015-11-30,Detroit,93,Golden State Warriors,104
400578554,2015-12-02,Golden State Warriors,98,Orlando,97
400578567,2015-12-04,Golden State Warriors,112,New Orleans,85
400578581,2015-12-06,Chicago,102,Golden State Warriors,112
400578597,2015-12-08,Minnesota,86,Golden State Warriors,102
400578616,2015-12-10,Golden State Warriors,105,Houston,93
400578632,2015-12-13,Dallas,98,Golden State Warriors,105
400578640,2015-12-14,New Orleans,122,Golden State Warriors,128
400578657,2015-12-16,Memphis,105,Golden State Warriors,98
400578674,2015-12-18,Golden State Warriors,114,Oklahoma City,109
400578707,2015-12-22,Golden State Warriors,128,Sacramento,108
400578718,2015-12-23,Los Angeles,115,Golden State Warriors,105
400578723,2015-12-25,LA,100,Golden State Warriors,86
400578744,2015-12-27,Golden State Warriors,110,Minnesota,97
400578766,2015-12-30,Golden State Warriors,126,Philadelphia,86
400578785,2015-01-02,Golden State Warriors,126,Toronto,105
400578810,2015-01-05,Golden State Warriors,117,Oklahoma City,91
400578825,2015-01-07,Golden State Warriors,117,Indiana,102
400578839,2015-01-09,Golden State Warriors,112,Cleveland,94
400578863,2015-01-13,Utah,105,Golden State Warriors,116
400578874,2015-01-14,Golden State Warriors,104,Miami,89
400578885,2015-01-16,Oklahoma City,127,Golden State Warriors,115
400578895,2015-01-17,Houston,106,Golden State Warriors,131
400578907,2015-01-19,Golden State Warriors,122,Denver,79
400578928,2015-01-21,Golden State Warriors,126,Houston,113
400578943,2015-01-23,Golden State Warriors,126,Sacramento,101
400578957,2015-01-25,Golden State Warriors,114,Boston,111
400578971,2015-01-27,Golden State Warriors,111,Chicago,113
400578995,2015-01-30,Utah,110,Golden State Warriors,100
400579007,2015-01-31,Golden State Warriors,106,Phoenix,87
400579022,2015-02-03,Sacramento,96,Golden State Warriors,121
400579033,2015-02-04,Golden State Warriors,128,Dallas,114
400579041,2015-02-06,Atlanta,124,Golden State Warriors,116
400579052,2015-02-07,NY Knicks,92,Golden State Warriors,106
400579067,2015-02-09,Philadelphia,84,Golden State Warriors,89
400579085,2015-02-11,Minnesota,91,Golden State Warriors,94
400579106,2015-02-20,Golden State Warriors,110,San Antonio,99
400579116,2015-02-22,Indiana,104,Golden State Warriors,98
400579130,2015-02-24,Washington,107,Golden State Warriors,114
400579146,2015-02-26,Cleveland,110,Golden State Warriors,99
400579153,2015-02-27,Toronto,89,Golden State Warriors,113
400579172,2015-03-01,Boston,101,Golden State Warriors,106
400579178,2015-03-02,Brooklyn,110,Golden State Warriors,108
400579199,2015-03-04,Golden State Warriors,102,Milwaukee,93
400579214,2015-03-06,Golden State Warriors,104,Dallas,89
400579224,2015-03-08,Golden State Warriors,106,LA,98
